sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-57680089#6,715101979,6992871166,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,39.4635257956306,230.47920167761455,3786.82,3692.93,3763.57,3673.75
-57680095#0,715102670,241790243,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,69.82785453537345,232.57621164604058,3003.05,4856.52,2947.68,4814.15
-57680095#1,10211731934,715102670,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,14.275713642406707,228.0664855011257,3013.67,4866.06,3003.05,4856.52
-57680097#0,715101923,715101837,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,22.05088660349051,197.41602632130426,3486.52,3927.2,3479.92,3906.16
-57680097#1,715101587,715101923,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,35.225202625393216,196.2380835404359,3496.37,3961.02,3486.52,3927.2
-57680097#2,715102201,715101587,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,98.81846706371806,146.98735343444173,3449.72,4032.82,3496.37,3961.02
-57680102,715101431,715101952,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,210.35237644970664,350.29207004768864,3140.66,4684.73,3105.35,4891.13
-57680105,715101909,715101713,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,59.654714817858824,0.7203616159525268,3464.42,4136.91,3465.17,4196.56
-57680107,715102051,715101690,3,highway.residential,20.016,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,104.21021246713194,172.62405059925948,3368.66,4181.47,3381.24,4084.29
-57680108,715102130,715101797,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,36.70153884493658,265.8581692902386,3737.71,3843.78,3702.22,3841.21
-57680109,715101952,715101831,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,46.70485925029044,297.6475380753519,3105.35,4891.13,3064.25,4912.66
-57680110,715101710,471527380,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,74.45581542574503,129.30285526037846,3828.69,3599.6,3884.36,3554.03
-57680112#0,715102012,241790241,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,155.18772423568845,243.27780042863702,3054.34,4934.25,2917.44,4865.33
-57680112#1,715102342,715102012,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,69.2294112436781,250.60868176213884,3119.57,4957.21,3054.34,4934.25
-57680113,715101932,715102509,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,26.68072150448717,182.7498041722871,3669.56,3709.15,3668.28,3682.5
-57680114#0,715101440,11751535864,4,highway.unclassified,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,298.2498724401511,191.71885957514297,3145.72,5737.27,3085.89,5448.84
-57680114#1,715102129,715101440,4,highway.unclassified,79.992,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,328.57864957603783,199.07027295893897,3252.97,6047.51,3145.72,5737.27
