sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
1271290826#1,1603469719,1603469718,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,17.270337178230733,269.7528847999264,4117.4,3642.38,4101.17,3642.31
1271290826#2,1603469718,275992017,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,unclassified,5.136010124600974,250.78892429891113,4101.17,3642.31,4096.32,3640.62
1307929464#0,1583654065,5536101064,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,8.14649004173003,259.8901647638087,5040.42,3206.29,5032.4,3204.86
1307929464#1,5536101064,1583654052,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,83.23054487386186,259.8971108662205,5032.4,3204.86,4950.46,3190.26
1307929464#2,1583654052,1583654047,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,83.06951787509044,259.8913331582907,4950.46,3190.26,4868.68,3175.68
1307929464#3,1583654047,5527778074,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1,residential,229.01865972011998,259.90057241680444,4868.68,3175.68,4643.21,3135.52
1307929465#0,5527778074,1583654019,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,15.806391112458705,259.8702306285679,4643.21,3135.52,4627.65,3132.74
1307929465#1,1583654019,5522753789,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1,residential,15.204489468574064,259.92434890892537,4627.65,3132.74,4612.68,3130.08
1307929468,5522747354,276095617,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,15.08284124427434,79.9194020124578,4615.81,3112.28,4630.66,3114.92
1307929469,276095617,5522747355,10,highway.tertiary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,1,tertiary,16.02649057030236,79.93817469039851,4630.66,3114.92,4646.44,3117.72
1313759116#0,275992781,2959824279,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,20.59604752049807,42.67793814105937,2888.1,3662.1,2902.06,3677.24
1313759116#1,2959824279,1676944235,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,84.55674740925616,58.91052866037427,2902.06,3677.24,2974.35,3720.83
1313759116#2,1676944235,275992826,10,highway.tertiary,79.992,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,56.42159880787224,59.22979188189788,2974.35,3720.83,3022.77,3749.66
1331982510,275594532,275869525,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,8.960189730134184,301.86304215822764,2761.61,3826.79,2754.0,3831.52
1331983204,303300832,299467076,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,176.40907259668796,239.44149256846174,919.39,3328.64,768.43,3239.51
1331983205,2094212259,2094212229,11,highway.secondary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,19.841098759897527,160.99886968168653,745.85,3310.42,752.31,3291.66
1331985197,2793254266,9344212415,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,16.8619453207508,357.07650825843035,2915.88,2717.78,2915.02,2734.62
1331985198,275598736,2793254266,10,highway.tertiary,29.988,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,tertiary,6.507388108911283,357.26950102426457,2916.19,2711.28,2915.88,2717.78
1339600873#1,930655289,12391559962,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,5.62925603689594,108.69597562528503,728.88,3321.47,734.14,3319.69
1339600873#2,12391559962,12391559958,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,11.25360660790304,51.962299069734286,734.14,3319.69,742.41,3326.16
1339600873#3,12391559958,12391559971,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,6.954623078577622,349.5735227636726,742.41,3326.16,741.19,3332.79
1339600873#4,12391559971,12391559965,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,1.472752525036077,326.6336339989389,741.19,3332.79,740.38,3334.02
1339600873#5,12391559965,930655286,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,11.271836203245645,279.1935822486122,740.38,3334.02,730.0,3335.7
1339600873#6,930655286,930655288,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,8.738514411836366,211.91138466373678,730.0,3335.7,725.56,3328.57
1339600873#7,930655288,930655289,11,highway.secondary,100.00800000000001,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,secondary,8.110612388907263,154.9389445300966,725.56,3328.57,728.88,3321.47
1346030048,12449865103,12449865108,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship container cable_car subway aircraft wheelchair scooter drone,0,residential,18.802620649749095,69.33489626195035,5389.75,2605.02,5407.01,2611.53
